Call Type Group,Neighborhooods - Analysis Boundaries,Call Type,Incident Number
Fire,West of Twin Peaks,Outside Fire,56
Fire,Western Addition,Outside Fire,95
Fire,Bayview Hunters Point,Structure Fire,322
Fire,Bernal Heights,Structure Fire,102
Fire,Castro/Upper Market,Structure Fire,77
Fire,Chinatown,Structure Fire,28
Fire,Excelsior,Structure Fire,99
Fire,Financial District/South Beach,Structure Fire,58
Fire,Glen Park,Structure Fire,53
Fire,Haight Ashbury,Structure Fire,52
Fire,Hayes Valley,Structure Fire,38
Fire,Inner Richmond,Structure Fire,55
Fire,Inner Sunset,Structure Fire,51
Fire,Japantown,Structure Fire,11
Fire,Lakeshore,Structure Fire,38
Fire,Lone Mountain/USF,Structure Fire,100
Fire,Marina,Structure Fire,44
Fire,Mission,Structure Fire,331
Fire,Mission Bay,Structure Fire,42
Fire,Nob Hill,Structure Fire,33
Fire,Noe Valley,Structure Fire,42
Fire,North Beach,Structure Fire,52
Fire,Oceanview/Merced/Ingleside,Structure Fire,61
Fire,Outer Mission,Structure Fire,90
Fire,Outer Richmond,Structure Fire,167
Fire,Pacific Heights,Structure Fire,66
Fire,Portola,Structure Fire,37
Fire,Potrero Hill,Structure Fire,114
Fire,Presidio,Structure Fire,14
Fire,Presidio Heights,Structure Fire,29
Fire,Russian Hill,Structure Fire,94
Fire,Seacliff,Structure Fire,25
Fire,South of Market,Structure Fire,137
Fire,Sunset/Parkside,Structure Fire,140
Fire,Tenderloin,Structure Fire,58
Fire,Twin Peaks,Structure Fire,28
Fire,Visitacion Valley,Structure Fire,74
Fire,West of Twin Peaks,Structure Fire,78
Fire,Western Addition,Structure Fire,79
Fire,Financial District/South Beach,Train / Rail Incident,61
Fire,Mission,Train / Rail Incident,7
Fire,Mission Bay,Train / Rail Incident,8
Fire,Outer Mission,Train / Rail Incident,13
Fire,West of Twin Peaks,Train / Rail Incident,14
Fire,Bayview Hunters Point,Vehicle Fire,178
Fire,Bernal Heights,Vehicle Fire,45
Fire,Castro/Upper Market,Vehicle Fire,18
Fire,Chinatown,Vehicle Fire,8
Fire,Excelsior,Vehicle Fire,20
Fire,Financial District/South Beach,Vehicle Fire,81
Fire,Golden Gate Park,Vehicle Fire,18
Fire,Haight Ashbury,Vehicle Fire,7
Fire,Hayes Valley,Vehicle Fire,40
Fire,Inner Richmond,Vehicle Fire,8
Fire,Inner Sunset,Vehicle Fire,9
Fire,Lakeshore,Vehicle Fire,13
Fire,Lincoln Park,Vehicle Fire,3
Fire,Lone Mountain/USF,Vehicle Fire,1
Fire,Marina,Vehicle Fire,12
Fire,Mission,Vehicle Fire,73
Fire,Mission Bay,Vehicle Fire,12
Fire,Nob Hill,Vehicle Fire,16
Fire,Noe Valley,Vehicle Fire,9
Fire,North Beach,Vehicle Fire,14
Fire,Oceanview/Merced/Ingleside,Vehicle Fire,16
Fire,Outer Mission,Vehicle Fire,17
Fire,Outer Richmond,Vehicle Fire,23
Fire,Pacific Heights,Vehicle Fire,23
Fire,Portola,Vehicle Fire,18
Fire,Potrero Hill,Vehicle Fire,50
Fire,Presidio,Vehicle Fire,13
Fire,Presidio Heights,Vehicle Fire,16
Fire,Russian Hill,Vehicle Fire,14
Fire,South of Market,Vehicle Fire,41
Fire,Sunset/Parkside,Vehicle Fire,44
Fire,Tenderloin,Vehicle Fire,78
Fire,Treasure Island,Vehicle Fire,64
Fire,Twin Peaks,Vehicle Fire,5
Fire,Visitacion Valley,Vehicle Fire,9
Fire,West of Twin Peaks,Vehicle Fire,14
Fire,Western Addition,Vehicle Fire,15
Fire,Bayview Hunters Point,Water Rescue,90
Fire,Bernal Heights,Water Rescue,1
Fire,Financial District/South Beach,Water Rescue,275
Fire,Golden Gate Park,Water Rescue,23
Fire,Hayes Valley,Water Rescue,13
Fire,Lakeshore,Water Rescue,193
Fire,Lincoln Park,Water Rescue,84
Fire,Marina,Water Rescue,156
Fire,Mission Bay,Water Rescue,54
Fire,Nob Hill,Water Rescue,69
Fire,None,Water Rescue,31
Fire,North Beach,Water Rescue,167
Fire,Outer Richmond,Water Rescue,236
Fire,Portola,Water Rescue,6
Fire,Presidio,Water Rescue,283
Fire,Russian Hill,Water Rescue,119
Fire,Seacliff,Water Rescue,26
Fire,Sunset/Parkside,Water Rescue,147
Fire,Tenderloin,Water Rescue,29
Fire,Treasure Island,Water Rescue,11
Fire,Financial District/South Beach,Watercraft in Distress,12
Fire,Mission Bay,Watercraft in Distress,15
Fire,North Beach,Watercraft in Distress,1
Fire,Outer Richmond,Watercraft in Distress,14
Non Life-threatening,Bayview Hunters Point,Medical Incident,"3,473"
Non Life-threatening,Bernal Heights,Medical Incident,"1,180"
Non Life-threatening,Castro/Upper Market,Medical Incident,"2,145"
Non Life-threatening,Chinatown,Medical Incident,"1,482"
Non Life-threatening,Excelsior,Medical Incident,"1,452"
Non Life-threatening,Financial District/South Beach,Medical Incident,"4,981"
Non Life-threatening,Glen Park,Medical Incident,326
Non Life-threatening,Golden Gate Park,Medical Incident,435
Non Life-threatening,Haight Ashbury,Medical Incident,895
Non Life-threatening,Hayes Valley,Medical Incident,"1,539"
Non Life-threatening,Inner Richmond,Medical Incident,913
Non Life-threatening,Inner Sunset,Medical Incident,938
Non Life-threatening,Japantown,Medical Incident,724
Non Life-threatening,Lakeshore,Medical Incident,"1,292"
Non Life-threatening,Lincoln Park,Medical Incident,40
Non Life-threatening,Lone Mountain/USF,Medical Incident,929
Non Life-threatening,Marina,Medical Incident,"1,167"
Non Life-threatening,McLaren Park,Medical Incident,81
Non Life-threatening,Mission,Medical Incident,"7,244"
Non Life-threatening,Mission Bay,Medical Incident,"1,304"
Non Life-threatening,Nob Hill,Medical Incident,"2,218"
Non Life-threatening,Noe Valley,Medical Incident,623
Non Life-threatening,None,Medical Incident,37
Non Life-threatening,North Beach,Medical Incident,"1,486"
Non Life-threatening,Oceanview/Merced/Ingleside,Medical Incident,743
Non Life-threatening,Outer Mission,Medical Incident,"1,092"
Non Life-threatening,Outer Richmond,Medical Incident,"1,679"
Non Life-threatening,Pacific Heights,Medical Incident,"1,391"
Non Life-threatening,Portola,Medical Incident,758
Non Life-threatening,Potrero Hill,Medical Incident,"1,073"
Non Life-threatening,Presidio,Medical Incident,324
Non Life-threatening,Presidio Heights,Medical Incident,572
Non Life-threatening,Russian Hill,Medical Incident,970
Non Life-threatening,Seacliff,Medical Incident,92
Non Life-threatening,South of Market,Medical Incident,"8,595"
Non Life-threatening,Sunset/Parkside,Medical Incident,"2,822"
Non Life-threatening,Tenderloin,Medical Incident,"11,231"
Non Life-threatening,Treasure Island,Medical Incident,429
Non Life-threatening,Twin Peaks,Medical Incident,425
Non Life-threatening,Visitacion Valley,Medical Incident,767
Non Life-threatening,West of Twin Peaks,Medical Incident,"1,766"
Non Life-threatening,Western Addition,Medical Incident,"2,392"
Non Life-threatening,Bayview Hunters Point,Other,48
Non Life-threatening,Bernal Heights,Other,12
Non Life-threatening,Castro/Upper Market,Other,23
Non Life-threatening,Chinatown,Other,5
Non Life-threatening,Excelsior,Other,13
Non Life-threatening,Financial District/South Beach,Other,36
Non Life-threatening,Glen Park,Other,7
Non Life-threatening,Golden Gate Park,Other,3
Non Life-threatening,Haight Ashbury,Other,7
Non Life-threatening,Hayes Valley,Other,14
Non Life-threatening,Inner Richmond,Other,6
Non Life-threatening,Inner Sunset,Other,12
Non Life-threatening,Lakeshore,Other,13
Non Life-threatening,Lone Mountain/USF,Other,13
Non Life-threatening,Marina,Other,10
Non Life-threatening,McLaren Park,Other,1
Non Life-threatening,Mission,Other,100
Non Life-threatening,Mission Bay,Other,15
Non Life-threatening,Nob Hill,Other,37
Non Life-threatening,Noe Valley,Other,16
Non Life-threatening,North Beach,Other,12
Non Life-threatening,Oceanview/Merced/Ingleside,Other,27
Non Life-threatening,Outer Mission,Other,23
Non Life-threatening,Outer Richmond,Other,11
Non Life-threatening,Pacific Heights,Other,8
Non Life-threatening,Portola,Other,2
Non Life-threatening,Potrero Hill,Other,31
Non Life-threatening,Presidio Heights,Other,2
Non Life-threatening,Russian Hill,Other,13
Non Life-threatening,South of Market,Other,70
Non Life-threatening,Sunset/Parkside,Other,26
Non Life-threatening,Tenderloin,Other,63
Non Life-threatening,Treasure Island,Other,6
Non Life-threatening,Twin Peaks,Other,1
Non Life-threatening,Visitacion Valley,Other,15
Non Life-threatening,West of Twin Peaks,Other,20
Non Life-threatening,Western Addition,Other,20
Non Life-threatening,Bayview Hunters Point,Traffic Collision,463
Non Life-threatening,Bernal Heights,Traffic Collision,235
Non Life-threatening,Castro/Upper Market,Traffic Collision,84
Non Life-threatening,Chinatown,Traffic Collision,27
Non Life-threatening,Excelsior,Traffic Collision,76
Non Life-threatening,Financial District/South Beach,Traffic Collision,347
Non Life-threatening,Glen Park,Traffic Collision,22
Non Life-threatening,Golden Gate Park,Traffic Collision,106
Non Life-threatening,Haight Ashbury,Traffic Collision,40
Non Life-threatening,Hayes Valley,Traffic Collision,234
Non Life-threatening,Inner Richmond,Traffic Collision,100
Non Life-threatening,Inner Sunset,Traffic Collision,43
Non Life-threatening,Japantown,Traffic Collision,19
Non Life-threatening,Lakeshore,Traffic Collision,116
Non Life-threatening,Lone Mountain/USF,Traffic Collision,38
Non Life-threatening,Marina,Traffic Collision,97
Non Life-threatening,McLaren Park,Traffic Collision,7
Non Life-threatening,Mission,Traffic Collision,412
Non Life-threatening,Mission Bay,Traffic Collision,66
Non Life-threatening,Nob Hill,Traffic Collision,90
Non Life-threatening,Noe Valley,Traffic Collision,65
Non Life-threatening,None,Traffic Collision,14
Non Life-threatening,North Beach,Traffic Collision,34
Non Life-threatening,Oceanview/Merced/Ingleside,Traffic Collision,131
Non Life-threatening,Outer Mission,Traffic Collision,200
Non Life-threatening,Outer Richmond,Traffic Collision,121
Non Life-threatening,Pacific Heights,Traffic Collision,89
Non Life-threatening,Portola,Traffic Collision,125
Non Life-threatening,Potrero Hill,Traffic Collision,128
Non Life-threatening,Presidio,Traffic Collision,47
Non Life-threatening,Presidio Heights,Traffic Collision,33
Non Life-threatening,Russian Hill,Traffic Collision,73
Non Life-threatening,Seacliff,Traffic Collision,8
Non Life-threatening,South of Market,Traffic Collision,354
Non Life-threatening,Sunset/Parkside,Traffic Collision,191
Non Life-threatening,Tenderloin,Traffic Collision,171
Non Life-threatening,Treasure Island,Traffic Collision,214
Non Life-threatening,Twin Peaks,Traffic Collision,16
Non Life-threatening,Visitacion Valley,Traffic Collision,22
Non Life-threatening,West of Twin Peaks,Traffic Collision,186
Non Life-threatening,Western Addition,Traffic Collision,179
Potentially Life-Threatening,Bayview Hunters Point,Medical Incident,"7,520"
Potentially Life-Threatening,Bernal Heights,Medical Incident,"2,076"
Potentially Life-Threatening,Castro/Upper Market,Medical Incident,"3,389"
Potentially Life-Threatening,Chinatown,Medical Incident,"2,351"
Potentially Life-Threatening,Excelsior,Medical Incident,"3,143"
Potentially Life-Threatening,Financial District/South Beach,Medical Incident,"9,267"
Potentially Life-Threatening,Glen Park,Medical Incident,683
Potentially Life-Threatening,Golden Gate Park,Medical Incident,532
Potentially Life-Threatening,Haight Ashbury,Medical Incident,"1,630"
Potentially Life-Threatening,Hayes Valley,Medical Incident,"3,295"
Potentially Life-Threatening,Inner Richmond,Medical Incident,"1,524"
Potentially Life-Threatening,Inner Sunset,Medical Incident,"1,721"
Potentially Life-Threatening,Japantown,Medical Incident,"1,338"
Potentially Life-Threatening,Lakeshore,Medical Incident,"1,726"
Potentially Life-Threatening,Lincoln Park,Medical Incident,79
Potentially Life-Threatening,Lone Mountain/USF,Medical Incident,"1,421"
Potentially Life-Threatening,Marina,Medical Incident,"2,127"
Potentially Life-Threatening,McLaren Park,Medical Incident,109
Potentially Life-Threatening,Mission,Medical Incident,"13,544"
Potentially Life-Threatening,Mission Bay,Medical Incident,"2,037"
Potentially Life-Threatening,Nob Hill,Medical Incident,"4,422"
Potentially Life-Threatening,Noe Valley,Medical Incident,"1,090"
Potentially Life-Threatening,None,Medical Incident,56
Potentially Life-Threatening,North Beach,Medical Incident,"2,744"
Potentially Life-Threatening,Oceanview/Merced/Ingleside,Medical Incident,"1,793"
Potentially Life-Threatening,Outer Mission,Medical Incident,"1,878"
Potentially Life-Threatening,Outer Richmond,Medical Incident,"3,023"
Potentially Life-Threatening,Pacific Heights,Medical Incident,"2,448"
Potentially Life-Threatening,Portola,Medical Incident,"1,323"
Potentially Life-Threatening,Potrero Hill,Medical Incident,"2,153"
Potentially Life-Threatening,Presidio,Medical Incident,334
Potentially Life-Threatening,Presidio Heights,Medical Incident,892
Potentially Life-Threatening,Russian Hill,Medical Incident,"1,763"
Potentially Life-Threatening,Seacliff,Medical Incident,152
Potentially Life-Threatening,South of Market,Medical Incident,"19,059"
Potentially Life-Threatening,Sunset/Parkside,Medical Incident,"4,994"
Potentially Life-Threatening,Tenderloin,Medical Incident,"25,360"
Potentially Life-Threatening,Treasure Island,Medical Incident,722
Potentially Life-Threatening,Twin Peaks,Medical Incident,749
Potentially Life-Threatening,Visitacion Valley,Medical Incident,"1,658"
Potentially Life-Threatening,West of Twin Peaks,Medical Incident,"2,734"
Potentially Life-Threatening,Western Addition,Medical Incident,"4,730"
Potentially Life-Threatening,Bayview Hunters Point,Other,23
Potentially Life-Threatening,Bernal Heights,Other,33
Potentially Life-Threatening,Castro/Upper Market,Other,6
Potentially Life-Threatening,Excelsior,Other,6
Potentially Life-Threatening,Financial District/South Beach,Other,2
Potentially Life-Threatening,Golden Gate Park,Other,9
Potentially Life-Threatening,Haight Ashbury,Other,6
Potentially Life-Threatening,Hayes Valley,Other,7
Potentially Life-Threatening,Inner Richmond,Other,9
Potentially Life-Threatening,Inner Sunset,Other,14
Potentially Life-Threatening,Mission,Other,13
Potentially Life-Threatening,Nob Hill,Other,15
Potentially Life-Threatening,None,Other,9
Potentially Life-Threatening,Outer Mission,Other,6
Potentially Life-Threatening,Outer Richmond,Other,7
Potentially Life-Threatening,Pacific Heights,Other,12
Potentially Life-Threatening,Portola,Other,9
Potentially Life-Threatening,Potrero Hill,Other,7
Potentially Life-Threatening,South of Market,Other,16
Potentially Life-Threatening,Sunset/Parkside,Other,19
Potentially Life-Threatening,Tenderloin,Other,27
Potentially Life-Threatening,Treasure Island,Other,11
Potentially Life-Threatening,West of Twin Peaks,Other,6
Potentially Life-Threatening,Bayview Hunters Point,Traffic Collision,639
Potentially Life-Threatening,Bernal Heights,Traffic Collision,315
Potentially Life-Threatening,Castro/Upper Market,Traffic Collision,161
Potentially Life-Threatening,Chinatown,Traffic Collision,100
Potentially Life-Threatening,Excelsior,Traffic Collision,186
Potentially Life-Threatening,Financial District/South Beach,Traffic Collision,580
Potentially Life-Threatening,Glen Park,Traffic Collision,35
Potentially Life-Threatening,Golden Gate Park,Traffic Collision,181
Potentially Life-Threatening,Haight Ashbury,Traffic Collision,98
Potentially Life-Threatening,Hayes Valley,Traffic Collision,276
Potentially Life-Threatening,Inner Richmond,Traffic Collision,189
Potentially Life-Threatening,Inner Sunset,Traffic Collision,98
Potentially Life-Threatening,Japantown,Traffic Collision,33
Potentially Life-Threatening,Lakeshore,Traffic Collision,138
Potentially Life-Threatening,Lincoln Park,Traffic Collision,9
Potentially Life-Threatening,Lone Mountain/USF,Traffic Collision,80
Potentially Life-Threatening,Marina,Traffic Collision,147
Potentially Life-Threatening,McLaren Park,Traffic Collision,18
Potentially Life-Threatening,Mission,Traffic Collision,904
Potentially Life-Threatening,Mission Bay,Traffic Collision,146
Potentially Life-Threatening,Nob Hill,Traffic Collision,231
Potentially Life-Threatening,Noe Valley,Traffic Collision,49
Potentially Life-Threatening,None,Traffic Collision,27
Potentially Life-Threatening,North Beach,Traffic Collision,150
Potentially Life-Threatening,Oceanview/Merced/Ingleside,Traffic Collision,178
Potentially Life-Threatening,Outer Mission,Traffic Collision,264
Potentially Life-Threatening,Outer Richmond,Traffic Collision,251
Potentially Life-Threatening,Pacific Heights,Traffic Collision,93
Potentially Life-Threatening,Portola,Traffic Collision,78
Potentially Life-Threatening,Potrero Hill,Traffic Collision,178
Potentially Life-Threatening,Presidio,Traffic Collision,46
Potentially Life-Threatening,Presidio Heights,Traffic Collision,52
Potentially Life-Threatening,Russian Hill,Traffic Collision,118
Potentially Life-Threatening,Seacliff,Traffic Collision,4
Potentially Life-Threatening,South of Market,Traffic Collision,829
Potentially Life-Threatening,Sunset/Parkside,Traffic Collision,271
Potentially Life-Threatening,Tenderloin,Traffic Collision,609
Potentially Life-Threatening,Treasure Island,Traffic Collision,182
Potentially Life-Threatening,Twin Peaks,Traffic Collision,17
Potentially Life-Threatening,Visitacion Valley,Traffic Collision,54
Potentially Life-Threatening,West of Twin Peaks,Traffic Collision,192
Potentially Life-Threatening,Western Addition,Traffic Collision,241
Potentially Life-Threatening,Marina,Water Rescue,5
Potentially Life-Threatening,Mission Bay,Water Rescue,15
,Mission Bay,Administrative,1
,Pacific Heights,Administrative,2
,Sunset/Parkside,Administrative,2
,Tenderloin,Administrative,2
,Nob Hill,Alarms,4
,Bernal Heights,Confined Space / Structure Collapse,7
,Sunset/Parkside,Confined Space / Structure Collapse,7
,Noe Valley,Electrical Hazard,2
,Bayview Hunters Point,Explosion,5
,Castro/Upper Market,Fuel Spill,3
,Hayes Valley,Fuel Spill,2
,Bayview Hunters Point,Medical Incident,103
,Bernal Heights,Medical Incident,46
,Castro/Upper Market,Medical Incident,28
,Chinatown,Medical Incident,27
,Excelsior,Medical Incident,46
,Financial District/South Beach,Medical Incident,57
,Glen Park,Medical Incident,7
,Golden Gate Park,Medical Incident,4
,Haight Ashbury,Medical Incident,17
,Hayes Valley,Medical Incident,37
,Inner Richmond,Medical Incident,11
,Inner Sunset,Medical Incident,31
,Japantown,Medical Incident,15
,Lakeshore,Medical Incident,23
,Lone Mountain/USF,Medical Incident,30
,Marina,Medical Incident,18
,Mission,Medical Incident,102
,Mission Bay,Medical Incident,14
,Nob Hill,Medical Incident,70
,Noe Valley,Medical Incident,9
,North Beach,Medical Incident,47
,Oceanview/Merced/Ingleside,Medical Incident,20
,Outer Mission,Medical Incident,14
,Outer Richmond,Medical Incident,31
,Pacific Heights,Medical Incident,22
,Portola,Medical Incident,24
,Potrero Hill,Medical Incident,17
,Presidio,Medical Incident,4
,Presidio Heights,Medical Incident,11
,Russian Hill,Medical Incident,12
,Seacliff,Medical Incident,2
,South of Market,Medical Incident,185
,Sunset/Parkside,Medical Incident,53
,Tenderloin,Medical Incident,334
,Treasure Island,Medical Incident,14
,Twin Peaks,Medical Incident,4
,Visitacion Valley,Medical Incident,25
,West of Twin Peaks,Medical Incident,45
,Western Addition,Medical Incident,55
,Bayview Hunters Point,Other,2
,Castro/Upper Market,Other,3
,Lakeshore,Other,1
,Mission Bay,Other,16
,Nob Hill,Other,1
,Potrero Hill,Other,6
,Presidio,Other,11
,Bayview Hunters Point,Outside Fire,5
,South of Market,Structure Fire,3
,Sunset/Parkside,Suspicious Package,3
,Bayview Hunters Point,Traffic Collision,27
,Bernal Heights,Traffic Collision,13
,Castro/Upper Market,Traffic Collision,2
,Excelsior,Traffic Collision,5
,Financial District/South Beach,Traffic Collision,9
,Glen Park,Traffic Collision,2
,Hayes Valley,Traffic Collision,2
,Inner Richmond,Traffic Collision,2
,Lakeshore,Traffic Collision,7
,Lone Mountain/USF,Traffic Collision,2
,Marina,Traffic Collision,2
,Mission,Traffic Collision,20
,Mission Bay,Traffic Collision,10
,North Beach,Traffic Collision,3
,Oceanview/Merced/Ingleside,Traffic Collision,10
,Outer Richmond,Traffic Collision,8
,Portola,Traffic Collision,2
,Potrero Hill,Traffic Collision,10
,Presidio,Traffic Collision,2
,Russian Hill,Traffic Collision,11
,South of Market,Traffic Collision,12
,Sunset/Parkside,Traffic Collision,5
,Tenderloin,Traffic Collision,12
,Treasure Island,Traffic Collision,3
,Twin Peaks,Traffic Collision,1
,West of Twin Peaks,Traffic Collision,17
,Western Addition,Traffic Collision,2
,Bayview Hunters Point,Train / Rail Fire,11
,Tenderloin,Train / Rail Fire,13
,Hayes Valley,Vehicle Fire,2
,Inner Sunset,Vehicle Fire,3
,Lakeshore,Watercraft in Distress,3
,Presidio,Watercraft in Distress,18
